INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.launcher.Main.shutdown(Main.java:165)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.launcher.DaemonLauncher.stop(DaemonLauncher.java:154)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.tanukisoftware.wrapper.WrapperManager.privilegedStopInner(WrapperManager.java:3127)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.tanukisoftware.wrapper.WrapperManager.handleSocket(WrapperManager.java:3768)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.tanukisoftware.wrapper.WrapperManager.run(WrapperManager.java:4158)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | 2017/05/12 18:41:25 | Caused by: java.lang.IllegalThreadStateException
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at java.lang.ThreadGroup.destroy(ThreadGroup.java:775)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.excalibur.thread.impl.DefaultThreadPool.dispose(DefaultThreadPool.java:76)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.framework.container.ContainerUtil.dispose(ContainerUtil.java:306)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.cornerstone.blocks.threads.AbstractThreadManager.dispose(AbstractThreadManager.java:69)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.framework.container.ContainerUtil.dispose(ContainerUtil.java:306)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.containerkit.lifecycle.LifecycleHelper.shutdown(LifecycleHelper.java:274)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	... 27 more
INFO   | wrapperp | 2017/05/12 18:41:26 | port 15012 already in use, using port 32000 instead.
STATUS | wrapper  | 2017/05/12 18:41:27 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/05/12 19:32:13 | --> Wrapper Started as Service
STATUS | wrapper  | 2017/05/12 19:32:13 | Launching a JVM...
INFO   | jvm 1    | 2017/05/12 19:32:14 | Wrapper (Version 3.2.0) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/05/12 19:32:14 | 
INFO   | jvm 1    | 2017/05/12 19:32:14 | 
INFO   | jvm 1    | 2017/05/12 19:32:14 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2017/05/12 19:32:14 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2017/05/12 19:32:14 |           could not be loaded:
INFO   | jvm 1    | 2017/05/12 19:32:14 |             D:\com\james\bin\.\wrapper.dll
INFO   | jvm 1    | 2017/05/12 19:32:14 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2017/05/12 19:32:14 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2017/05/12 19:32:14 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2017/05/12 19:32:14 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2017/05/12 19:32:14 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2017/05/12 19:32:14 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2017/05/12 19:32:14 | 
INFO   | jvm 1    | 2017/05/12 19:32:14 | 
INFO   | jvm 1    | 2017/05/12 19:32:14 | Phoenix 4.2
INFO   | jvm 1    | 2017/05/12 19:32:14 | 
INFO   | jvm 1    | 2017/05/12 19:32:17 | James Mail Server 2.3.2
INFO   | jvm 1    | 2017/05/12 19:32:17 | Remote Manager Service started plain:4555
INFO   | jvm 1    | 2017/05/12 19:32:17 | POP3 Service started plain:110
INFO   | jvm 1    | 2017/05/12 19:32:17 | SMTP Service started plain:25
INFO   | jvm 1    | 2017/05/12 19:32:17 | NNTP Service started plain:119
INFO   | jvm 1    | 2017/05/12 19:32:17 | FetchMail Disabled
INFO   | jvm 1    | 2017/05/12 21:06:53 | Shutting down Phoenix.
INFO   | jvm 1    | 2017/05/12 21:06:54 | org.apache.avalon.phoenix.containerkit.lifecycle.LifecycleException: Component named "thread-manager" failed to pass through the Destruction stage. (Reason: java.lang.IllegalThreadStateException).
INFO   | jvm 1    | 2017/05/12 21:06:54 | 	at org.apache.avalon.phoenix.containerkit.lifecycle.LifecycleHelper.fail(LifecycleHelper.java:354)
